화재발생일시,화재발생_연,화재발생_월,화재발생_일,주말여부,화재발생시간대,시군구명,읍면동명,발화지점,날씨,온도,습도,특보내용,발화원인종합,소방서명,서센터명,소방지역대명,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,전체인력수합계,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
2011-12-28 02:02:00,2011,12,28,0,0~3,홍천군,홍천읍,산정상,맑음,-10,73,,인간의 부주의,홍천소방서,홍천119안전센터,,702,8,8,0.0,111,81725,13,0,4209,0.1
2012-01-11 15:06:00,2012,1,11,0,15~18,홍천군,홍천읍,산정상,맑음,-1,22,,인간의 부주의,홍천소방서,홍천119안전센터,,508,6,6,0.0,72,13800,14,0,2176,0.03
2012-02-05 16:05:00,2012,2,5,1,15~18,고성군,거진읍,산정상,맑음,6,29,건조주의보,인간의 부주의,고성소방서,거진119안전센터,,412,40,4,0.0,68,4142,12,0,2900,0.2
2012-02-28 14:37:00,2012,2,28,0,12~15,양구군,동면,산아래,맑음,6,48,,인간의 부주의,춘천소방서,양구119안전센터,동면119지역대,712,63,18,5.0,113,3231,28,0,0,0.06
2012-04-15 20:17:00,2012,4,15,1,18~21,삼척시,도계읍,산중턱,맑음,18,30,,기계/전기/화학 요인,삼척소방서,도계119안전센터,,1300,40,10,0.0,85,5800,14,0,0,0.03
2012-04-18 16:02:00,2012,4,18,0,15~18,철원군,갈말읍,산아래,맑음,13,71,,인간의 부주의,철원소방서,태봉119안전센터,,500,4,4,3.0,76,3500,8,0,0,0.15
2012-04-19 14:12:00,2012,4,19,0,12~15,홍천군,화촌면,산중턱,맑음,14,56,,인간의 부주의,홍천소방서,홍천119안전센터,화촌119지역대,2357,15,15,10.0,1264,43507,72,0,7169,6.0
2012-04-19 14:58:00,2012,4,19,0,12~15,횡성군,청일면,산정상,구름많음,17,57,,미상,횡성소방서,둔내119안전센터,,1214,30,30,7.0,289,41427,20,0,0,1.5
2012-04-20 17:50:00,2012,4,20,0,15~18,영월군,주천면,산아래,구름많음,19,40,,인간의 부주의,영월소방서,주천119안전센터,,926,31,5,0.0,106,3942,7,0,9,0.05
2012-04-24 14:27:00,2012,4,24,0,12~15,동해시,쇄운동,산중턱,맑음,23,37,,인간의 부주의,동해소방서,북평119안전센터,,620,15,7,0.0,92,4100,18,0,0,0.01
2012-04-30 10:12:00,2012,4,30,0,9~12,춘천시,동산면,산정상,맑음,19,56,,인간의 부주의,춘천소방서,석사119안전센터,동산119지역대,2221,24,19,0.0,155,5634,12,0,0,0.01
2012-05-01 13:51:00,2012,5,1,0,12~15,삼척시,가곡면,산정상,맑음,16,68,,인간의 부주의,삼척소방서,원덕119안전센터,가곡119지역대,1700,57,20,10.0,146,14000,15,0,0,0.12
2012-05-06 12:35:00,2012,5,6,1,9~12,화천군,화천읍,산아래,맑음,19,15,,인간의 부주의,춘천소방서,화천119안전센터,,3610,45,15,32.0,125,15250,11,0,0,0.1
2012-05-06 13:52:00,2012,5,6,1,12~15,원주시,호저면,산중턱,맑음,19,15,,미상,원주소방서,태장119안전센터,,2357,19,12,0.0,67,3219,7,0,0,0.05
2012-05-06 14:48:00,2012,5,6,1,12~15,홍천군,화촌면,산아래,맑음,24,12,,인간의 부주의,홍천소방서,홍천119안전센터,화촌119지역대,2559,23,23,18.0,28,1906,10,0,0,0.01
2012-05-07 14:45:00,2012,5,7,0,12~15,철원군,갈말읍,산중턱,맑음,24,20,,미상,철원소방서,태봉119안전센터,,2600,8,8,0.0,50,2400,6,0,0,0.05
2012-05-07 15:32:00,2012,5,7,0,15~18,평창군,봉평면,산중턱,맑음,22,10,,미상,평창소방서,봉평119안전센터,,2646,45,12,0.0,140,25123,14,0,0,0.1
2012-05-23 05:34:00,2012,5,23,0,3~6,화천군,상서면,산정상,맑음,15,79,,인간의 부주의,춘천소방서,화천119안전센터,,1316,45,15,15.0,36,20248,7,0,0,0.04
2012-05-26 15:17:00,2012,5,26,1,15~18,평창군,미탄면,산중턱,맑음,23,15,,인간의 부주의,평창소방서,평창119안전센터,,4645,16,16,1.0,84,13237,20,0,0,0.2
2012-05-27 14:10:00,2012,5,27,1,12~15,영월군,남면,산정상,비,18,62,,자연적 요인,영월소방서,영월119안전센터,남면119지역대,1215,11,11,4.0,19,11158,6,0,0,0.1
2012-05-27 16:11:00,2012,5,27,1,15~18,홍천군,화촌면,산중턱,흐림,21,68,,자연적 요인,홍천소방서,홍천119안전센터,화촌119지역대,2503,35,35,25.0,32,11524,4,0,0,0.01
2012-05-27 17:31:00,2012,5,27,1,15~18,삼척시,미로면,산정상,소나기,22,25,,미상,삼척소방서,봉황119안전센터,미로119지역대,800,16,16,8.0,72,24000,7,0,0,0.01
2012-05-28 10:20:00,2012,5,28,0,9~12,홍천군,동면,산정상,맑음,22,55,,자연적 요인,홍천소방서,홍천119안전센터,동면119지역대,2355,7,7,9.0,65,13341,6,0,90,0.07
2012-05-28 12:09:00,2012,5,28,0,9~12,정선군,여량면,산정상,맑음,15,82,,미상,정선소방서,임계119안전센터,여량면119지역대,1000,23,13,10.0,58,20900,7,0,0,0.01
2012-05-30 09:10:00,2012,5,30,0,6~9,양구군,양구읍,산중턱,비,17,78,,자연적 요인,춘천소방서,양구119안전센터,,1350,60,10,25.0,27,1852,2,0,0,0.01
2012-06-14 21:31:00,2012,6,14,0,21~24,춘천시,동면,산정상,구름많음,19,68,,인간의 부주의,춘천소방서,후평119안전센터,,700,5,5,0.0,196,12900,11,0,82,0.05
